,Srno,RecipeName,Ingredients,TranslatedIngredients,Cuisine,Course,Diet,Instructions,TranslatedInstructions,URL
79,89,Bengali Chirer Payesh / Poha Pudding Recipe With Nolen Gur,"1/2 cup Poha (Flattened rice),2 tablespoons Rice flour,2 1/2 liter Milk,1 cup Nolen Gur - or brown sugar,2 Cardamom (Elaichi) Pods/Seeds,8-10 Mixed nuts - almonds/cashews,1 tablespoon Raisins,1 pinch Saffron strands - and a little more for garnish,pinch Salt","1/2 cup Poha (Flattened rice),2 tablespoons Rice flour,2 1/2 liter Milk,1 cup Nolen Gur - or brown sugar,2 Cardamom (Elaichi) Pods/Seeds,8-10 Mixed nuts - almonds/cashews,1 tablespoon Raisins,1 pinch Saffron strands - and a little more for garnish,pinch Salt",Bengali Recipes,Dessert,Vegetarian,"To cook Bengali Chirer Payesh/Poha Pudding Recipe With Nolen Gur, wash poha/chirer with water and strain the poha.Soak the washed and drained poha/chirer in a cup of milk.Also mix 1/2 cup of milk with rice flour and keep aside.Soak saffron in a little milk. Keep aside.Boil the rest of milk and cardamom pods together in a Saucepan and bring to boil. Stir occasionally.Add rice flour mix in boiling milk and stir constantly.Boil about 12-15 minutes till the rice flour is cooked and milk is condensed.Now add milk soaked flattened rice/chirer then add the milk soaked saffron.Cook chirer payesh for 15 minutes more or when flattened rice/chirer is cooked well and milk thickens considerably, add nolen gur or brown sugar.Stir it and cook it till the date jaggery/brown sugar dissolves. Then add chopped almonds/cashews and a pinch of salt, cook for a minute and remove from heat.Pour the Bengali Chirer Payesh/Poha Pudding Recipe With Nolen Gur in a serving bowl, garnish with saffron strands/almonds/cashews and raisins and serve hot or chilled with sumptuous meal of Cholar Dal Recipe/ Aar Macher Jhol Recipe and jeera rice for dinner.
","To cook Bengali Chirer Payesh/Poha Pudding Recipe With Nolen Gur, wash poha/chirer with water and strain the poha.Soak the washed and drained poha/chirer in a cup of milk.Also mix 1/2 cup of milk with rice flour and keep aside.Soak saffron in a little milk. Keep aside.Boil the rest of milk and cardamom pods together in a Saucepan and bring to boil. Stir occasionally.Add rice flour mix in boiling milk and stir constantly.Boil about 12-15 minutes till the rice flour is cooked and milk is condensed.Now add milk soaked flattened rice/chirer then add the milk soaked saffron.Cook chirer payesh for 15 minutes more or when flattened rice/chirer is cooked well and milk thickens considerably, add nolen gur or brown sugar.Stir it and cook it till the date jaggery/brown sugar dissolves. Then add chopped almonds/cashews and a pinch of salt, cook for a minute and remove from heat.Pour the Bengali Chirer Payesh/Poha Pudding Recipe With Nolen Gur in a serving bowl, garnish with saffron strands/almonds/cashews and raisins and serve hot or chilled with sumptuous meal of Cholar Dal Recipe/ Aar Macher Jhol Recipe and jeera rice for dinner.",https://www.archanaskitchen.com/bengali-chirer-payesh-poha-pudding-recipe-with-nolen-gur
80,90,Makhan Recipe (Homemade Butter),"2 cups Fresh cream,1 cup Water","2 cups Fresh cream,1 cup Water",North Indian Recipes,Side Dish,Vegetarian,"To begin making the Makhan recipe, take out thick milk cream from milk.Take a mixing jar and put cream in it. Now add water. Close the lid and turn on the mixer.Initially the cream will begun to smoothen and we will get smooth whipped cream. Continue mixing it in mixer till we see buttermilk and butter getting separated.Now will see lumps of butter floating in the buttermilk. With a spoon or spatula collect the white butter in an air-tight container or can also store in refrigerator.Homemade white butter is now ready. Serve Makhan on Aloo Paratha, Mooli Paratha or any other Paratha of your choice.
","To begin making the Makhan recipe, take out thick milk cream from milk.Take a mixing jar and put cream in it. Now add water. Close the lid and turn on the mixer.Initially the cream will begun to smoothen and we will get smooth whipped cream. Continue mixing it in mixer till we see buttermilk and butter getting separated.Now will see lumps of butter floating in the buttermilk. With a spoon or spatula collect the white butter in an air-tight container or can also store in refrigerator.Homemade white butter is now ready. Serve Makhan on Aloo Paratha, Mooli Paratha or any other Paratha of your choice.",http://www.archanaskitchen.com/makhan-recipe-homemade-butter
81,91,Shanghai Style Chap Nian Gao Recipes (Stir Fried Rice Cakes Recipes),"1 cup Rice flour,Salt - to taste,Sunflower Oil - for cooking,1 Bok Choy - sliced,1 Carrot (Gajjar) - thinly sliced,1/2 cup Cabbage (Patta Gobi/ Muttaikose),1/2 cup Button mushrooms - quartered,2 tablespoons Corn flour,1 tablespoon Dark soy sauce,1 tablespoon Bean Paste,1 teaspoon Red Chilli sauce,1 teaspoon Sugar,Sunflower Oil - for cooking,Salt - to taste","1 cup Rice flour,Salt - to taste,Sunflower Oil - for cooking,1 Bok Choy - sliced,1 Carrot (Gajjar) - thinly sliced,1/2 cup Cabbage (Patta Gobi/ Muttaikose),1/2 cup Button mushrooms - quartered,2 tablespoons Corn flour,1 tablespoon Dark soy sauce,1 tablespoon Bean Paste,1 teaspoon Red Chilli sauce,1 teaspoon Sugar,Sunflower Oil - for cooking,Salt - to taste",Chinese,One Pot Dish,Vegetarian,"We begin making the Shanghai Style Chap Nian Gao Recipes (Stir Fried Rice Cakes Recipes) by preparing the rice cakes, so mix all the ingredients in a microwave bowl and add 1/2 cup water. Mix thoroughly and make it into a sticky paste.Cover the bowl with cling film, leaving an inch open. Place it in the microwave oven for 2 minutes on high. Remove and add 1/4 water and mix it again and repeat the process.Once done remove dough and it and place it on the board and using a muddler, pound the dough in order to combine and get a smooth consistency. You can apply some oil on the board before doing this process to prevent sticking. Pound the dough for 5 minutes.After it is done, use your hand to bind it together and knead it for 2 minutes. Divide the dough into two and roll it into the cylindrical shape by applying some more oil on your hand as well as on the board. Wrap it using a cling film and store it in the fridge for 1 hour.Remove from the fridge and cut them lengthwise and keep it aside. Heat a wok with oil, add ginger and garlic, saute for few seconds.Add all the vegetables and saute them till it is cooked, you can add some water and cover it and let it cook.Meanwhile,mix all the sauce ingredients in a small bowl with 1/4 water and keep it aside. Once the vegetables are done , pour in the sauce mixture and keep stirring till it thickens.At this point, you can add in the rice cakes and give it a stir. Serve the Shanghai Style Chap Nian Gao Recipes (Stir Fried Rice Cakes Recipes) along with General Tso cauliflower for a satisfying lunch.
","We begin making the Shanghai Style Chap Nian Gao Recipes (Stir Fried Rice Cakes Recipes) by preparing the rice cakes, so mix all the ingredients in a microwave bowl and add 1/2 cup water. Mix thoroughly and make it into a sticky paste.Cover the bowl with cling film, leaving an inch open. Place it in the microwave oven for 2 minutes on high. Remove and add 1/4 water and mix it again and repeat the process.Once done remove dough and it and place it on the board and using a muddler, pound the dough in order to combine and get a smooth consistency. You can apply some oil on the board before doing this process to prevent sticking. Pound the dough for 5 minutes.After it is done, use your hand to bind it together and knead it for 2 minutes. Divide the dough into two and roll it into the cylindrical shape by applying some more oil on your hand as well as on the board. Wrap it using a cling film and store it in the fridge for 1 hour.Remove from the fridge and cut them lengthwise and keep it aside. Heat a wok with oil, add ginger and garlic, saute for few seconds.Add all the vegetables and saute them till it is cooked, you can add some water and cover it and let it cook.Meanwhile,mix all the sauce ingredients in a small bowl with 1/4 water and keep it aside. Once the vegetables are done , pour in the sauce mixture and keep stirring till it thickens.At this point, you can add in the rice cakes and give it a stir. Serve the Shanghai Style Chap Nian Gao Recipes (Stir Fried Rice Cakes Recipes) along with General Tso cauliflower for a satisfying lunch.",http://www.archanaskitchen.com/shanghai-style-chap-nian-gao-recipes-stir-fried-rice-cakes-recipes
82,92,White Pumpkin Mor Kuzhambu Recipe - Kerala Style White Pumpkin Curry,"1-1/2 cups Curd (Dahi / Yogurt) - thick,1/2 cup Fresh coconut,1 cup Vellai Poosanikai (Ash gourd/White Pumpkin) - cubed,4 Green Chillies,1/4 teaspoon Black pepper powder,1/3 cup Water,1/4 teaspoon Turmeric powder (Haldi),Salt - as per your taste,1 teaspoon Coconut Oil,1/4 teaspoon Mustard seeds,1/4 teaspoon Methi Seeds (Fenugreek Seeds),1 sprig Curry leaves,1 Dry Red Chilli","1-1/2 cups Curd (Dahi / Yogurt) - thick,1/2 cup Fresh coconut,1 cup Vellai Poosanikai (Ash gourd/White Pumpkin) - cubed,4 Green Chillies,1/4 teaspoon Black pepper powder,1/3 cup Water,1/4 teaspoon Turmeric powder (Haldi),Salt - as per your taste,1 teaspoon Coconut Oil,1/4 teaspoon Mustard seeds,1/4 teaspoon Methi Seeds (Fenugreek Seeds),1 sprig Curry leaves,1 Dry Red Chilli",Kerala Recipes,Lunch,Vegetarian,"To begin making White Pumpkin Mor Kuzhambu, we need to first cook the pumpkin. Pressure cook the white pumpkin with little water in a pressure cooker for 2 whistles and release the pressure immediately by running the cooker under cold water.  Keep aside.Meanwhile, whisk curd with water in a bowl until the its smooth. Make sure that there are no lumps in the curd.Next, add grated coconut, green chilli, black pepper powder in a mixer grinder and grind it to a smooth paste with a little water. Your Kuzhambu paste is ready.Transfer this kuzhambu paste to the curd and mix well. Once it is mixed properly, add in turmeric powder, cooked white pumpkin, salt and mix everything well. Place this mixture on low heat in a saucepan and allow the mixture to become warm. You will notice a light froth around the edges of the vessel. Do not let the mixture boil, the curd will split on high heat. Turn off the flame the moment you see froth. The next step is to temper the kuzhambu.In a tempering pan/tadka pan, add one teaspoon of coconut oil. Once the oil is hot, add mustard seeds and fenugreek seeds, Once the mustard seeds starts to crackle, add the curry leaves, dry red chilli and give it a mix. Turn off the flame and add this tempering to the Mor Kuzhambu. Your Mor Kuzhambu is ready to be served. Serve Mor Kuzhambu with Steamed Rice and Menthia Keerai Paruppu Usili for a simple weekday lunch.
","To begin making White Pumpkin Mor Kuzhambu, we need to first cook the pumpkin. Pressure cook the white pumpkin with little water in a pressure cooker for 2 whistles and release the pressure immediately by running the cooker under cold water.  Keep aside.Meanwhile, whisk curd with water in a bowl until the its smooth. Make sure that there are no lumps in the curd.Next, add grated coconut, green chilli, black pepper powder in a mixer grinder and grind it to a smooth paste with a little water. Your Kuzhambu paste is ready.Transfer this kuzhambu paste to the curd and mix well. Once it is mixed properly, add in turmeric powder, cooked white pumpkin, salt and mix everything well. Place this mixture on low heat in a saucepan and allow the mixture to become warm. You will notice a light froth around the edges of the vessel. Do not let the mixture boil, the curd will split on high heat. Turn off the flame the moment you see froth. The next step is to temper the kuzhambu.In a tempering pan/tadka pan, add one teaspoon of coconut oil. Once the oil is hot, add mustard seeds and fenugreek seeds, Once the mustard seeds starts to crackle, add the curry leaves, dry red chilli and give it a mix. Turn off the flame and add this tempering to the Mor Kuzhambu. Your Mor Kuzhambu is ready to be served. Serve Mor Kuzhambu with Steamed Rice and Menthia Keerai Paruppu Usili for a simple weekday lunch.",http://www.archanaskitchen.com/white-pumpkin-mor-kuzhambu-recipe-kerala-style-white-pumpkin-gravy
83,93,पनीर और हरे मटर का पराठा रेसिपी - Paneer and Green Peas Paratha Recipe,"1/2 कप हरे मटर - पेस्ट बना ले,1 कप पनीर - क्रम्ब्ल कर ले,1 इंच अदरक - काट ले,1 हरी मिर्च - काट ले,1 छोटा चम्मच हल्दी पाउडर,2 छोटे चम्मच लाल मिर्च पाउडर,1 छोटा चम्मच अमचूर पाउडर,1 छोटा चम्मच धनिया पाउडर,नमक - स्वाद अनुसार,1 कप गेहूं का आटा,नमक - स्वाद अनुसार,तेल - प्रयोग अनुसार,पानी - गुनगुना","1/2 cup green peas - make paste, 1 cup cheese - crumble, cut 1 inch ginger - 1 green chili - chopped, 1 tsp turmeric powder, 2 tsp red chili powder, 1 tsp mango powder Powder, 1 tsp coriander powder, salt - according to taste, 1 cup wheat flour, salt - according to taste, oil - according to use, water - lukewarm",North Indian Recipes,North Indian Breakfast,High Protein Vegetarian,"पनीर और हरे मटर का पराठा रेसिपी बनाने के लिए सबसे पहले सारी सामग्री तैयार कर ले. पराठे का आटा बनाने के लिए:अब एक बाउल में गेहूं का आटा, नमक, तेल डाले और मिला ले. थोड़ा थोड़ा पानी डाले और आटे को गुंद ले. ढके और अलग से रख दे. मसाला बनाने के लिए:एक कढ़ाई में तेल गरम करें। इसमें जीरा डाले और थोड़े सेकण्ड्स के लिए पका ले. अब इसमें अदरक, हरे मटर डाले और आधा पका ले.अब इसमें पनीर, लाल मिर्च पाउडर, धनिया पाउडर, अमचूर पाउडर, नमक डाले। सबको अच्छी तरह से मिला ले और अलग से रख दे. ठंडा होने दे। अब आटे का थोड़ा टुकड़ा ले और उसे गोल बेल ले. बिच में पनीर मटर के मसाले का मिश्रण रखें और चारो तरफ से बंद कर ले. अब इसे सूखे आटे से कोट कर ले. फिर से बेल ले. मोटा मोटा ही बेले वरना मसाला बाहर आ सकता है. ऐसे सारे पराठे बना ले.एक तवा गरम करें। इस पर पराठा डाले और ऊपर से घी लगा ले. दोनों तरफ से सुनहरा भूरा होने तक पकाए और गैस बंद कर ले. पनीर और हरे मटर का पराठा रेसिपी को आप धनिया पुदीना चटनी और तड़का रायता के साथ शाम के नाश्ते के लिए परोसे।
","To make paneer and green pea paratha recipe, prepare all the ingredients first. To make paratha flour: Now add wheat flour, salt, oil and mix in a bowl. Add a little water and knead the dough. Cover and keep aside. To make the masala: Heat the oil in a pan. Add cumin seeds and cook for a few seconds. Now add ginger, green peas and cook half. Now add cottage cheese, red chilli powder, coriander powder, mango powder, salt. Mix well and keep aside. Let it cool down. Now take a little piece of flour and roll it out. Place the mixture of paneer peas in the middle and close it from all sides. Now coat it with dry flour. Take the vine again. Only fat, or else spices can come out. Make all such parathas. Heat a griddle. Put paratha on it and apply ghee on top. Cook till it turns golden brown from both sides and turn off the gas. Serve Paneer and Hare Matar Paratha Recipe with Coriander Mint Chutney and Tadka Raita for an evening snack.",http://www.archanaskitchen.com/paneer-and-green-peas-paratha-recipe-in-hindi
84,94,सेनाइ पचड़ी रेसिपी - Elephant Yam Raita (Recipe In Hindi),"250 ग्राम एलीफैंट येम,1/2 हरी मिर्च,1 इंच अदरक,3 बड़े चमच्च हरा धनिया - काट ले,नमक - स्वाद अनुसार,1 कप दही,1 छोटा चमच्च तेल,हींग - चुटकी भर,1-1/2 छोटा चमच्च राइ,1-1/2 छोटा चमच्च काली उरद दाल (स्प्लिट)","250 grams Elephant yam, 1/2 green chilli, 1 inch ginger, 3 tablespoons coriander - chopped, salt - as per taste, 1 cup curd, 1 teaspoon oil, asafetida - a pinch, 1-1 / 2 teaspoon Rye, 1-1 / 2 teaspoon Kali Urad Dal (Split)",Indian,Side Dish,Vegetarian,"सेनाइ पचड़ी बनाने के लिए सबसे पहले येम को छीलकर छोटा छोटा काट ले. अब एक प्रेशर कुकर में प्रयोग अनुसार पानी, येम डाले और 3 सिटी आने तक पका ले. प्रेशर अपने आप निकलने से और येम को अलग से निकाल ले. बचा हुआ पानी भी अलग से रख दे. अब एक मिक्सर ग्राइंडर में हरा धनिया, हरी मिर्च, अदरक और येम डाले। पीस ले.अब एक तड़का पैन में तेल गरम करें। इसमें तड़के के लिए दी गई सामग्री को डाले और 30 सेकण्ड्स तक पका ले.एक बाउल में येम का मिश्रण, दही और बचा हुआ पानी डाले और मिला ले. इसमें तड़का डाले और एक बार और मिलाए। परोसे।  सेनाइ पचड़ी को मिक्स्ड वेजिटेबल सांबर, बीटरूट थोरन और चावल के साथ दिन के खाने के लिए परोसे।
","To make Senai Pachadi, first peel and cut the yam into small pieces. Now in a pressure cooker add water, yam as per use and cook till 3 cities come. With the pressure coming out automatically, take out the yam separately. Also keep the remaining water separately. Now add green coriander, green chillies, ginger and yam in a mixer grinder. Grind. Now heat oil in a tempering pan. Add the ingredients given for tempering and cook it for 30 seconds. In a bowl, add yam mixture, curd and remaining water and mix. Add tempering to it and mix once more. Serve. Serve senai pachdi with mixed vegetable sambar, beetroot thoran and rice for dinner.",https://www.archanaskitchen.com/senai-pachadi-recipe-elephant-yam-raita-in-hindi
85,95,ड्रंकन नूडल्स रेसिपी - Drunken Noodles Recipe,"200 ग्राम राइस नूडल्स,1/2 कप बेबी कॉर्न - काट ले,1/4 कप शिमला मिर्च (लाल) - काट ले,1/4 कप शिमला मिर्च (पिली) - काट ले,1/4 कप शिमला मिर्च (हरी) - काट ले,1/4 कप थाई बेसिल के पत्ते - काट ले,1/3 कप हरे प्याज,6 कली लहसुन - बारीक काट ले,1 इंच अदरक - बारीक काट ले,1/2 बड़ा चम्मच ब्राउन शक्कर,1/2 बड़ा चम्मच शहद,1 बड़ा चम्मच सोया सॉस,1 बड़ा चम्मच फिश सॉस,1 बड़ा चम्मच श्रीराचा सॉस","200 grams rice noodles, 1/2 cup baby corn - cut, 1/4 cup capsicum (red) - cut, 1/4 cup capsicum (yellow) - cut, 1/4 cup capsicum (green) - cut, 1/4 cup Thai Basil leaves - cut, 1/3 cup green onions, 6 cloves garlic - finely chopped, 1 inch ginger - finely chopped, 1/2 tbsp brown sugar, 1/2 Tbsp honey, 1 tbsp soy sauce, 1 tbsp fish sauce, 1 tbsp Sriracha sauce",Thai,Main Course,Vegetarian,"ड्रंकन नूडल्स रेसिपी बनाने के लिए सबसे पहले हम फ्लैट नूडल्स को उबाल ले. एक सॉसपैन में 2 कप पानी उबाल ले. इसमें चुटकी भर नमक और थोड़ा तेल डाले और तेज़ आंच पर उबलने दे. जब पानी उबले इसमें नूडल्स डाले और नरम होने तक पका ले. ध्यान रखें ज्यादा न उबाले।गैस बंद करें और पानी निकाल दे. नूडल्स को ठन्डे पानी के निचे रखें, ताकि नूडल्स को पकना बंद हो जाए.  नूडल्स को एक बाउल में डाले। थोड़ा तेल डाले और अपने हाथो से मिला ले. अलग से रख दे. ड्रंकन नूडल सॉस बनाने के लिए एक मिक्सिंग बाउल में ब्राउन शक्कर, शहद, सोया सॉस, फिश सॉस और श्रीराचा सॉस डाले। इसमें 1 बड़ा चम्मच गरम पानी डाले, मिलाए और अलग से रख दे. एक कढ़ाई में तेल गरम करें। इसमें अदरक लहसुन डाले और 30 सेकण्ड्स के लिए पका ले. अब इसमें प्याज डाले और 1 मिनट के लिए पका ले.1 मिनट के बाद तीनो रंग की शिमला मिर्च, बेबी कॉर्न डाले और सब्ज़िओ के नरम होने तक पका ले. अब इसमें नमक, राइस नूडल्स डाले और मिला ले. अब इसमें ड्रंकन नूडल सॉस डाले और 3 से 4 मिनट के लिए पका ले. गैस बंद करें और परोसे। ड्रंकन नूडल्स रेसिपी को बेसिल चिकन और थाई स्टाइल पनीर के साथ वीकेंड के खाने के लिए परोसे। आप इसके साथ टेंडर कोकोनट आइस क्रीम भी परोस सकते है.
","To make the drunken noodles recipe, firstly boil the flat noodles. Boil 2 cups of water in a saucepan. Add a pinch of salt and some oil to it and let it boil on high heat. When the water boils, add the noodles and cook till it becomes soft. Take care not to boil too much. Turn off the gas and drain the water. Keep the noodles under cold water, so that the noodles stop cooking. Transfer the noodles to a bowl. Add some oil and mix it with your hands. Keep it aside. To make the drunken noodle sauce, add brown sugar, honey, soy sauce, fish sauce and Sriracha sauce in a mixing bowl. Add 1 tablespoon of hot water to it, mix and keep it aside. Heat oil in a pan. Add ginger garlic to it and cook for 30 seconds. Now add onions and cook for 1 minute. After 1 minute add all three capsicum, baby corn and cook till the vegetables become soft. Now add salt, rice noodles and mix it. Now add the drunken noodle sauce and cook for 3 to 4 minutes. Turn off the gas and serve. Serve the Drunken Noodles recipe with Basil Chicken and Thai Style Cheese for a weekend dinner. You can also serve tender coconut ice cream with it.",https://www.archanaskitchen.com/drunken-noodles-recipe-pad-kee-mao-in-hindi
86,96,Chettinad Style Prawn Biryani Recipe,"200 grams Shrimps - or prawns,1-1/2 cups Basmati rice,4-5 Shallots,1 tablespoon Ginger - paste,1 tablespoon Garlic - paste,3 tablespoons Fresh coconut - grated,1 teaspoon Green Chilli - paste,1/2 cup Hung Curd (Greek Yogurt),2 sprig Curry leaves,1 cup Sunflower Oil,2 tablespoons Ghee,1 teaspoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Garam masala powder,5-6 Whole Black Peppercorns,4 Cardamom (Elaichi) Pods/Seeds,2 Black cardamom (Badi Elaichi),1 inch Cinnamon Stick (Dalchini),2 Bay leaves (tej patta),2-3 Dry Red Chilli,1/2 teaspoon Cumin seeds (Jeera)","200 grams Shrimps - or prawns,1-1/2 cups Basmati rice,4-5 Shallots,1 tablespoon Ginger - paste,1 tablespoon Garlic - paste,3 tablespoons Fresh coconut - grated,1 teaspoon Green Chilli - paste,1/2 cup Hung Curd (Greek Yogurt),2 sprig Curry leaves,1 cup Sunflower Oil,2 tablespoons Ghee,1 teaspoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Garam masala powder,5-6 Whole Black Peppercorns,4 Cardamom (Elaichi) Pods/Seeds,2 Black cardamom (Badi Elaichi),1 inch Cinnamon Stick (Dalchini),2 Bay leaves (tej patta),2-3 Dry Red Chilli,1/2 teaspoon Cumin seeds (Jeera)",Chettinad,Lunch,Non Vegeterian,"To prepare Chettinad Style Prawn Biryani Recipe, wash and clean prawns well, collect in a bowl and add ginger garlic paste, red chili powder, turmeric, few drops of lemon juice and 2-3 pinch salt. Mix well and marinate for 15-20 minutes.Wash and soak rice in water for a minimum 30 minutes before cooking.Heat oil in a large and thick bottomed handi and add the whole spices and wait till they splutter.Now add shallots and saute them till they are pale in color.Add green chili paste, grated coconut and marinated prawns and mix well.Fry for 4-5 minutes and then slowly add curd and carefully mix everything to avoid breaking the prawns.Keep the flames high and let the water from curd dry up completely.Season with coriander powder, garam masala powder and salt. Fry till it is cooked and deeper in color.Now add the soaked rice and again stir well such that everything incorporates well with each other.Add warm water (double the quantity of rice), check salt and add a dollop of ghee and mix well.Allow the rice to come to a boil, close the lid and let the rice cook at low heat.Keep the lid covered till the rice is done. Gently mix the rice and collect in a serving bowl.Garnish with chopped coriander and chopped curry leaves.Serve the Chettinad Style Prawn Biryani hot with raita for a wholesome meal.
","To prepare Chettinad Style Prawn Biryani Recipe, wash and clean prawns well, collect in a bowl and add ginger garlic paste, red chili powder, turmeric, few drops of lemon juice and 2-3 pinch salt. Mix well and marinate for 15-20 minutes.Wash and soak rice in water for a minimum 30 minutes before cooking.Heat oil in a large and thick bottomed handi and add the whole spices and wait till they splutter.Now add shallots and saute them till they are pale in color.Add green chili paste, grated coconut and marinated prawns and mix well.Fry for 4-5 minutes and then slowly add curd and carefully mix everything to avoid breaking the prawns.Keep the flames high and let the water from curd dry up completely.Season with coriander powder, garam masala powder and salt. Fry till it is cooked and deeper in color.Now add the soaked rice and again stir well such that everything incorporates well with each other.Add warm water (double the quantity of rice), check salt and add a dollop of ghee and mix well.Allow the rice to come to a boil, close the lid and let the rice cook at low heat.Keep the lid covered till the rice is done. Gently mix the rice and collect in a serving bowl.Garnish with chopped coriander and chopped curry leaves.Serve the Chettinad Style Prawn Biryani hot with raita for a wholesome meal.",http://www.archanaskitchen.com/chettinad-style-prawn-biryani-recipe
87,97,Walnut and Flax Seed Trail Mix Recipe With Figs and Honey,"1 cup Walnuts,1 cup Dried Figs,1/3 cup Flax seeds,1/3 cup Honey,1/2 cup Roasted Peanuts (Moongphali),1 teaspoon Cinnamon Powder (Dalchini)","1 cup Walnuts,1 cup Dried Figs,1/3 cup Flax seeds,1/3 cup Honey,1/2 cup Roasted Peanuts (Moongphali),1 teaspoon Cinnamon Powder (Dalchini)",Continental,World Breakfast,Vegetarian,"To begin making the Walnut and Flax Seed Trail Mix Recipe With Figs & Honey, in a mixing bowl, combine the walnuts, figs, flax seeds, honey, roasted peanuts and the cinnamon powder. Preheat an oven to 190 degree celsius. Transfer the Walnut and Flax Seed Trail Mix onto a baking tray and bake for 12 to 15 minutes until they are crisp.Remove the tray from the oven. Allow the Walnut and Flax Seed Trail Mix to cool and transfer to an airtight jar and store.Serve Walnut and Flax Seed Trail Mix Recipe With Figs & Honey along with  Watermelon Smoothie Recipe as an after school snack for your kids.
","To begin making the Walnut and Flax Seed Trail Mix Recipe With Figs & Honey, in a mixing bowl, combine the walnuts, figs, flax seeds, honey, roasted peanuts and the cinnamon powder. Preheat an oven to 190 degree celsius. Transfer the Walnut and Flax Seed Trail Mix onto a baking tray and bake for 12 to 15 minutes until they are crisp.Remove the tray from the oven. Allow the Walnut and Flax Seed Trail Mix to cool and transfer to an airtight jar and store.Serve Walnut and Flax Seed Trail Mix Recipe With Figs & Honey along with  Watermelon Smoothie Recipe as an after school snack for your kids.",https://www.archanaskitchen.com/walnut-and-flax-seed-trail-mix-recipe-with-figs-and-honey
88,98,Murgh Malaiwala Recipe - Chicken In Rich Creamy Gravy,"500 gram Chicken - cut into pieces,2 teaspoon Ginger - paste,1 teaspoon Garlic - paste,2 tablespoon Fresh cream,1 tablespoon Badam (Almond) - paste,1/2 teaspoon Lemon juice,1/4 teaspoon Black pepper powder,Salt - to taste,1 Onion - sliced,1/2 cup Fresh cream,1 cup Milk,2 Cardamom Powder (Elaichi),1 inch Cinnamon Stick (Dalchini),2 Bay leaf (tej patta),2 teaspoon Kasuri Methi (Dried Fenugreek Leaves),4 teaspoon Ghee","500 gram Chicken - cut into pieces,2 teaspoon Ginger - paste,1 teaspoon Garlic - paste,2 tablespoon Fresh cream,1 tablespoon Badam (Almond) - paste,1/2 teaspoon Lemon juice,1/4 teaspoon Black pepper powder,Salt - to taste,1 Onion - sliced,1/2 cup Fresh cream,1 cup Milk,2 Cardamom Powder (Elaichi),1 inch Cinnamon Stick (Dalchini),2 Bay leaf (tej patta),2 teaspoon Kasuri Methi (Dried Fenugreek Leaves),4 teaspoon Ghee",North Indian Recipes,Lunch,Non Vegeterian,"To begin making the Murgh Malaiwala recipe, firstly clean and wash the chicken pieces and dry it. Soak kasuri methi leaves in 1/4th cup of water in a small bowl.Take a big bowl and add chicken, salt, pepper and mix it well. Refrigerate it for about 2 hours or more.After 2 hours, add garlic, ginger, lemon juice, almond paste and 2 tablespoons cream into the chicken and keep it aside for 20 minutes.Heat a heavy bottomed pan with ghee. Add cardamom powder and onions in the pan and let it cook till the onions become soft and translucent.Next, add the marinated chicken pieces and let it cook for 10 minutes. After 10 minutes, add in the cream, milk with cinnamon stick and bay leaf.Boil stirring occasionally till the chicken pieces are fully cooked and semi thick gravy consistency is formed. Strain the methi leaves and sprinkle on the gravy and stir it well. Let it cook for about a minute or two.Switch off the gas, cover the pan and let it sit for 10 minutes before serving. Serve Murgh Malaiwala along with Burani Raita, Garlic Naan and Jeera Rice for a weekend meal with your family.
","To begin making the Murgh Malaiwala recipe, firstly clean and wash the chicken pieces and dry it. Soak kasuri methi leaves in 1/4th cup of water in a small bowl.Take a big bowl and add chicken, salt, pepper and mix it well. Refrigerate it for about 2 hours or more.After 2 hours, add garlic, ginger, lemon juice, almond paste and 2 tablespoons cream into the chicken and keep it aside for 20 minutes.Heat a heavy bottomed pan with ghee. Add cardamom powder and onions in the pan and let it cook till the onions become soft and translucent.Next, add the marinated chicken pieces and let it cook for 10 minutes. After 10 minutes, add in the cream, milk with cinnamon stick and bay leaf.Boil stirring occasionally till the chicken pieces are fully cooked and semi thick gravy consistency is formed. Strain the methi leaves and sprinkle on the gravy and stir it well. Let it cook for about a minute or two.Switch off the gas, cover the pan and let it sit for 10 minutes before serving. Serve Murgh Malaiwala along with Burani Raita, Garlic Naan and Jeera Rice for a weekend meal with your family.",http://www.archanaskitchen.com/murgh-malaiwala-recipe-chicken-in-rich-creamy-gravy
